https://doi.org/10.1016/j.sab.2021.106098
m/z	Analyte Element Ion	Element Overlap Ion Contains	Overlap ion	Ion type
10	B	Be	9Be1H	hydride
11	B	C	12C wing	carbide
23	Na	Ca	46Ca++	doubly charged
23	Na	Li	7Li16O	oxide
23	Na	Li	6Li16O1H	hydroxide
23	Na	Li	6Li17O	oxide
23	Na	Ti	46Ti++	doubly charged
23	Na	Ti	47Ti++	doubly charged
24	Mg	C	12C12C	carbide
24	Mg	Ca	48Ca++	doubly charged
24	Mg	Li	7Li16O1H	hydroxide
24	Mg	Li	7Li17O	oxide
24	Mg	B	10B14N	nitride
24	Mg	Li	6Li18O	oxide
24	Mg	Li	6Li17O1H	hydroxide
24	Na	Ti	47Ti++	doubly charged
24	Mg	Ti	48Ti++	doubly charged
24	Mg	Ti	49Ti++	doubly charged
24	Mg	N	10B14N	nitride
25	Mg	Li	7Li18O	oxide
25	Mg	Be	9Be16O	oxide
25	Mg	C	12C13C	carbide
25	Mg	C	12C12C1H	carbide
25	Mg	Li	7Li17O1H	hydroxide
25	Mg	Li	6Li18O1H	hydroxide
25	Mg	Mg	24Mg1H	hydride
25	Mg	Ti	49Ti++	doubly charged
25	Mg	Ti	50Ti++	doubly charged
25	Mg	V	50V++	doubly charged
25	Mg	V	51V++	doubly charged
25	Mg	Cr	50Cr++	doubly charged
25	Mg	B	11B14N	nitride
25	Mg	N	11B14N	nitride
26	Mg	V	51V++	doubly charged
26	Mg	B	10B16O	oxide
26	Mg	Be	9Be16O1H	hydroxide
26	Mg	Be	9Be17O	oxide
26	Mg	C	12C14N	nitride
26	Mg	C	12C13C1H	hydride
26	Mg	C	13C13C	carbide
26	Mg	C	12C12C1H1H	carbide
26	Mg	Li	7Li18O1H	hydroxide
26	Mg	Cr	52Cr++	doubly charged
26	Mg	Mg	25Mg1H	hydride
26	Mg	Cr	53Cr++	doubly charged
26	Mg	N	12C14N	nitride
27	Al	Be	9Be17O1H	hydroxide
27	Al	Be	9Be18O	oxide
27	Al	B	10B16O1H	hydroxide
27	Al	B	9B18O	oxide
27	Al	B	11B16O	oxide
27	Al	B	10B17O	oxide
27	Al	C	12C15N	nitride
27	Al	C	13C14N	nitride
27	Al	C	12C14N1H	hydride
